Site,Habitat,Cover
BG1,agriculture,0.23
BG1,moor_heath,3.1
BG1,bog,0.47
BG1,pasture,2.14
BG1,early_forest,0.47
BG1,late_forest,2.24
BG1,prime_forest,3.78
BG1,broadleaf,0.26
BG2,agriculture,0.37
BG2,moor_heath,3.11
BG2,bog,0.47
BG2,pasture,0.98
BG2,early_forest,0.78
BG2,late_forest,3.86
BG2,prime_forest,2.91
BG2,broadleaf,0.21
BG3,agriculture,0
BG3,moor_heath,2.17
BG3,bog,0.23
BG3,pasture,4.63
BG3,early_forest,0.61
BG3,late_forest,2.59
BG3,prime_forest,2.29
BG3,broadleaf,0.17
BH1,agriculture,1.95
BH1,moor_heath,2.59
BH1,bog,0.48
BH1,pasture,1.3
BH1,early_forest,0.9
BH1,late_forest,3.89
BH1,prime_forest,1.36
BH1,broadleaf,0.21
BT1,agriculture,0
BT1,moor_heath,1.59
BT1,bog,0
BT1,pasture,7.58
BT1,early_forest,0.3
BT1,late_forest,1.65
BT1,prime_forest,1.39
BT1,broadleaf,0.18
ML2,agriculture,0
ML2,moor_heath,1.91
ML2,bog,2.18
ML2,pasture,2.96
ML2,early_forest,0.38
ML2,late_forest,3.95
ML2,prime_forest,0.91
ML2,broadleaf,0.39
ML4,agriculture,0.41
ML4,moor_heath,2.55
ML4,bog,0
ML4,pasture,2.93
ML4,early_forest,0.58
ML4,late_forest,2.47
ML4,prime_forest,2.14
ML4,broadleaf,1.61
ML7,agriculture,0
ML7,moor_heath,2.41
ML7,bog,1.1
ML7,pasture,1.77
ML7,early_forest,0.75
ML7,late_forest,4.79
ML7,prime_forest,2.21
ML7,broadleaf,0.67
ML8,agriculture,0
ML8,moor_heath,3.41
ML8,bog,0
ML8,pasture,3.37
ML8,early_forest,0.55
ML8,late_forest,2.91
ML8,prime_forest,1.73
ML8,broadleaf,0.72
ML9,agriculture,0.51
ML9,moor_heath,1.48
ML9,bog,0.82
ML9,pasture,4.54
ML9,early_forest,0.51
ML9,late_forest,2.37
ML9,prime_forest,1.93
ML9,broadleaf,0.53
NG1,agriculture,0.66
NG1,moor_heath,1.15
NG1,bog,0.85
NG1,pasture,7.41
NG1,early_forest,0.11
NG1,late_forest,1.9
NG1,prime_forest,0.52
NG1,broadleaf,0.09
NG2,agriculture,0.57
NG2,moor_heath,1.4
NG2,bog,0
NG2,pasture,6.94
NG2,early_forest,0.26
NG2,late_forest,1.6
NG2,prime_forest,1.06
NG2,broadleaf,0.87
